기간,자치구,동,합계
2015,마포구,신수동,7
2015,마포구,서교동,73
2015,마포구,합정동,19
2015,마포구,망원1동,16
2015,마포구,망원2동,9
2015,마포구,연남동,11
2015,마포구,성산1동,9
2015,마포구,성산2동,13
2015,마포구,상암동,17
2015,마포구,도화동,4
2015,마포구,서강동,18
2015,마포구,공덕동,11
2015,마포구,아현동,13
2015,양천구,소계,218
2015,양천구,목1동,21
2015,양천구,목2동,18
2015,양천구,목3동,9
2015,양천구,목4동,19
2015,양천구,신월1동,10
2015,양천구,신월2동,6
2015,양천구,신월3동,17
2015,양천구,신월4동,4
2015,양천구,신월5동,7
2015,양천구,신월6동,7
2015,양천구,신월7동,11
2015,양천구,신정1동,4
2015,양천구,신정2동,9
2015,양천구,신정3동,26
2015,양천구,신정6동,5
2015,양천구,신정7동,14
2015,양천구,목5동,11
2015,양천구,신정4동,20
2015,강서구,소계,301
2015,강서구,염창동,10
2015,강서구,등촌1동,9
2015,강서구,등촌2동,3
2015,강서구,등촌3동,27
2015,강서구,화곡본동,30
2015,강서구,화곡2동,9
2015,강서구,화곡3동,11
2015,강서구,화곡4동,8
2015,강서구,화곡6동,19
2015,강서구,화곡8동,16
2015,강서구,가양1동,17
2015,강서구,가양2동,7
2015,강서구,가양3동,5
2015,강서구,발산1동,18
2015,강서구,공항동,14
2015,강서구,방화1동,12
2015,강서구,방화2동,27
2015,강서구,방화3동,12
2015,강서구,화곡1동,36
2015,강서구,우장산동,11
2015,구로구,소계,221
2015,구로구,신도림동,9
2015,구로구,구로1동,3
2015,구로구,구로3동,21
2015,구로구,구로4동,16
2015,구로구,구로5동,14
2015,구로구,고척1동,12
2015,구로구,고척2동,17
2015,구로구,개봉2동,10
2015,구로구,개봉3동,11
2015,구로구,오류1동,13
2015,구로구,오류2동,18
2015,구로구,수궁동,14
2015,구로구,가리봉동,12
2015,구로구,구로2동,35
2015,구로구,개봉1동,16
2015,금천구,소계,131
2015,금천구,가산동,36
2015,금천구,독산1동,24
2015,금천구,독산2동,4
2015,금천구,독산3동,10
2015,금천구,독산4동,12
2015,금천구,시흥1동,16
2015,금천구,시흥2동,7
2015,금천구,시흥3동,4
2015,금천구,시흥4동,6
2015,금천구,시흥5동,12
2015,영등포구,소계,243
2015,영등포구,여의도동,26
2015,영등포구,당산1동,20
2015,영등포구,당산2동,11
2015,영등포구,양평1동,6
2015,영등포구,양평2동,18
2015,영등포구,신길1동,13
2015,영등포구,신길3동,6
2015,영등포구,신길4동,5
2015,영등포구,신길5동,4
2015,영등포구,신길6동,7
2015,영등포구,신길7동,7
2015,영등포구,대림1동,8
2015,영등포구,대림2동,23
2015,영등포구,대림3동,17
2015,영등포구,영등포본동,14
2015,영등포구,영등포동,33
2015,영등포구,도림동,8
2015,영등포구,문래동,17
2015,동작구,소계,185
2015,동작구,노량진2동,13
2015,동작구,상도1동,20
2015,동작구,상도2동,13
2015,동작구,상도3동,11
2015,동작구,상도4동,12
2015,동작구,사당1동,10
2015,동작구,사당3동,12
2015,동작구,사당4동,5
2015,동작구,사당5동,3
2015,동작구,대방동,21
2015,동작구,신대방1동,5
2015,동작구,신대방2동,12
2015,동작구,흑석동,16
2015,동작구,노량진1동,15
2015,동작구,사당2동,17
2015,관악구,소계,285
2015,관악구,보라매동,13
2015,관악구,청림동,6
2015,관악구,행운동,12
2015,관악구,낙성대동,12
2015,관악구,중앙동,12
2015,관악구,인헌동,12
2015,관악구,남현동,10
2015,관악구,서원동,12
2015,관악구,신원동,9
2015,관악구,서림동,10
2015,관악구,신사동,20
2015,관악구,신림동,30
2015,관악구,난향동,3
2015,관악구,조원동,11
2015,관악구,대학동,28
2015,관악구,은천동,20
2015,관악구,성현동,7
2015,관악구,청룡동,21
2015,관악구,난곡동,12
2015,관악구,삼성동,11
2015,관악구,미성동,14
2015,서초구,소계,303
2015,서초구,서초1동,9
2015,서초구,서초2동,23
2015,서초구,서초3동,32
2015,서초구,서초4동,17
2015,서초구,잠원동,21
2015,서초구,반포1동,23
2015,서초구,반포2동,5
2015,서초구,반포3동,12
2015,서초구,반포4동,26
2015,서초구,방배본동,10
2015,서초구,방배1동,11
2015,서초구,방배2동,25
2015,서초구,방배3동,14
2015,서초구,방배4동,14
2015,서초구,양재1동,22
2015,서초구,양재2동,24
2015,서초구,내곡동,15
2015,강남구,소계,504
